stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BEN1VHUG,,"Bénifontaine Mairie",,50.486893,2.832651,,,0,
BEN2PLAC,,"Bénifontaine Place",,50.488398,2.828366,,,0,
BEN2VHUG,,"Bénifontaine Mairie",,50.487224,2.832289,,,0,
BET1BEMA,,"Béthune Marché",,50.534945,2.639509,,,0,
BET1BMAR,,"Beau Marais",,50.531885,2.651891,,,0,
BET1CESP,,"Centre Sportif Lagrange",,50.532080,2.634847,,,0,
BET1CIMN,,"Béthune Cimetière Nord",,50.536394,2.642741,,,0,
BET1CIVE,,"Cité Verquin",,50.518501,2.644208,,,0,
BET1CLEA,,"Clémenceau - Quai A",,50.529762,2.640450,,,0,
BET1CLEB,,"Clémenceau - Quai B",,50.529264,2.640630,,,0,
BET1CLEC,,"Clémenceau - Quai C",,50.528923,2.640563,,,0,
BET1CLED,,"Clémenceau - Quai D",,50.529198,2.641544,,,0,
BET1CLEE,,"Clémenceau - Quai E",,50.529410,2.641958,,,0,
BET1CLI2,,"Béthune Collège Saint-Vaast",,50.534012,2.642483,,,0,
BET1COPE,,"Copernic",,50.517363,2.647282,,,0,
BET1CORB,,"Rue des Bruyères",,50.522945,2.657309,,,0,
BET1COVE,,"Béthune Collège Verlaine",,50.516718,2.632151,,,0,
BET1FIRE,,"Washington",,50.540351,2.650432,,,0,
BET1FOCH,,"Place Foch",,50.530523,2.633092,,,0,
BET1GARC,,"Béthune  Gare Avenue de Lens",,50.521879,2.641363,,,0,
BET1GARE,,"Béthune Gare - Poincaré",,50.522285,2.640482,,,0,
BET1GAUT,,"Gauthier",,50.527377,2.645162,,,0,
BET1GEND,,"Béthune Gendarmerie",,50.536206,2.636998,,,0,
BET1GMOU,,"Gros Moulin",,50.518511,2.622774,,,0,
BET1HAS1,,"Hastings",,50.530958,2.653137,,,0,
BET1HAST,,"Glaïeuls",,50.528376,2.655114,,,0,
BET1HDPO,,"Hôtel des Postes",,50.531406,2.641856,,,0,
BET1IMPO,,"Béthune Centre des Impôts",,50.532002,2.629793,,,0,
BET1JOFF,,"Joffre",,50.532756,2.643969,,,0,
BET1JUIN,,"Juin",,50.523541,2.636680,,,0,
BET1LAMA,,"Lamartine",,50.534384,2.639056,,,0,
BET1LEGI,,"Legillon",,50.524722,2.640415,,,0,
BET1LIB2,,"Béthune Liberté",,50.512290,2.648999,,,0,
BET1LINC,,"Abraham Lincoln",,50.539976,2.653594,,,0,
BET1LOND,,"Londres",,50.516201,2.627025,,,0,
BET1LROT,,"Béthune La Rotonde",,50.521547,2.630182,,,0,
BET1LYCE,,"Béthune Lycées",,50.520970,2.653988,,,0,
BET1LYQA,,"Lycée Malraux - Quai A",,50.520811,2.653752,,,0,
BET1LYQB,,"Lycée Malraux - Quai B",,50.520795,2.653795,,,0,
BET1LYQC,,"Lycée Malraux - Quai C",,50.520779,2.653623,,,0,
BET1LYQD,,"Lycée Malraux - Quai D",,50.520670,2.653576,,,0,
BET1LYQE,,"Lycée Malraux - Quai E",,50.520674,2.653368,,,0,
BET1MAIN,,"Résidence Chambord",,50.533406,2.635558,,,0,
BET1MANE,,"Popieluszko",,50.515423,2.648129,,,0,
BET1MANN,,"Mannessier",,50.522017,2.655431,,,0,
BET1MARN,,"Paul Marcel",,50.512855,2.642650,,,0,
BET1MICH,,"Michelet",,50.523116,2.646375,,,0,
BET1MLIE,,"Mont-Liébaut",,50.518252,2.627646,,,0,
BET1MSOR,,"Mont-Sorel",,50.538508,2.642626,,,0,
BET1PASS,,"Passerelle",,50.520100,2.637294,,,0,
BET1PCAT,,"Place Catorive",,50.538791,2.634098,,,0,
BET1PDDA,,"Pont des Dames",,50.537463,2.634555,,,0,
BET1PDPA,,"Place de Paris",,50.515999,2.638442,,,0,
BET1PDPE,,"Parc du Perroy",,50.525594,2.649402,,,0,
BET1PDPI,,"Pont de Pierre",,50.538359,2.646230,,,0,
BET1PDSE,,"Près des Soeurs",,50.528212,2.650629,,,0,
BET1PENI,,"Péniche",,50.540566,2.649393,,,0,
